yhat,ds,yhat_lower,yhat_upper,model,type
145.9004120401614,2026-01-01,140.11385638230848,151.6869676980143,SARIMA,forecast
146.22151453197188,2026-02-01,139.75035581467253,152.69267324927122,SARIMA,forecast
147.44031371699066,2026-03-01,140.35020485435552,154.5304225796258,SARIMA,forecast
147.47356820728706,2026-04-01,139.81437364981227,155.13276276476185,SARIMA,forecast
143.46881848207937,2026-05-01,135.27999149605623,151.6576454681025,SARIMA,forecast
142.22290216474562,2026-06-01,133.536676690521,150.90912763897023,SARIMA,forecast
144.29713155677933,2026-07-01,135.14048705085088,153.4537760627078,SARIMA,forecast
144.18000390220686,2026-08-01,134.57595453613783,153.7840532682759,SARIMA,forecast
142.1275871309381,2026-09-01,132.09606731341495,152.15910694846127,SARIMA,forecast
146.25503783489611,2026-10-01,135.81353336982937,156.69654229996286,SARIMA,forecast
149.04158148111424,2026-11-01,137.97675857615042,160.10640438607803,SARIMA,forecast
150.0712552858591,2026-12-01,138.49078069352134,161.65172987819687,SARIMA,forecast
149.00773858711747,2027-01-01,136.9291043577218,161.08637281651315,SARIMA,forecast
149.3287640895301,2027-02-01,136.7719998239002,161.88552835516,SARIMA,forecast
150.54746562881363,2027-03-01,137.5301088549599,163.56482240266735,SARIMA,forecast
150.580888486326,2027-04-01,137.11868921134433,164.04308776130765,SARIMA,forecast
146.57588178026225,2027-05-01,132.68307636267505,160.46868719784945,SARIMA,forecast
145.33017886724096,2027-06-01,131.0197185199038,159.64063921457813,SARIMA,forecast
147.40430366819734,2027-07-01,132.68803687461073,162.12057046178396,SARIMA,forecast
147.28746184197243,2027-08-01,132.1762824926047,162.39864119134015,SARIMA,forecast
145.23506610955152,2027-09-01,129.7390351879286,160.73109703117444,SARIMA,forecast
149.36226217223597,2027-10-01,133.49070877176078,165.23381557271117,SARIMA,forecast
152.1488798832374,2027-11-01,135.73204290602038,168.56571686045444,SARIMA,forecast
153.17854885501762,2027-12-01,136.29274979052644,170.0643479195088,SARIMA,forecast
152.11503246868116,2028-01-01,134.76931898498887,169.46074595237346,SARIMA,forecast
152.43605796539742,2028-02-01,134.64254302957804,170.2295729012168,SARIMA,forecast
153.6547594974562,2028-03-01,135.42443129785255,171.88508769705987,SARIMA,forecast
153.68818236742595,2028-04-01,135.03126557791,172.3450991569419,SARIMA,forecast
149.68317564234837,2028-05-01,130.60920849064044,168.7571427940563,SARIMA,forecast
148.4374727451167,2028-06-01,128.9553809257766,167.9195645644568,SARIMA,forecast
150.51159753833448,2028-07-01,130.62975706982496,170.393438006844,SARIMA,forecast
150.39475573325777,2028-08-01,130.12104716341048,170.66846430310505,SARIMA,forecast
148.3423600023935,2028-09-01,127.68421541140135,169.0005045933856,SARIMA,forecast
152.46955604623722,2028-10-01,131.4340000341277,173.5051120583467,SARIMA,forecast
155.25617376271865,2028-11-01,133.69522796419906,176.81711956123823,SARIMA,forecast
156.28584273414126,2028-12-01,134.26302586140662,178.3086596068759,SARIMA,forecast
155.22232634782793,2029-01-01,132.74394927977042,177.70070341588544,SARIMA,forecast
155.54335184454376,2029-02-01,132.6186673846661,178.46803630442142,SARIMA,forecast
156.762053376602,2029-03-01,133.3995803677448,180.12452638545923,SARIMA,forecast
156.79547624657266,2029-04-01,133.00326912194322,180.5876833712021,SARIMA,forecast
152.79046952149366,2029-05-01,128.57615360096426,177.00478544202306,SARIMA,forecast
151.5447666242632,2029-06-01,126.91557518228812,176.17395806623824,SARIMA,forecast
153.6188914174804,2029-07-01,128.58169815072674,178.65608468423406,SARIMA,forecast
153.50204961240527,2029-08-01,128.06339748085145,178.9407017439591,SARIMA,forecast
151.4496538815411,2029-09-01,125.6157808100862,177.28352695299603,SARIMA,forecast
155.57684992538344,2029-10-01,129.35371179306193,181.79998805770492,SARIMA,forecast
158.36346764186527,2029-11-01,131.6169159073259,185.11001937640464,SARIMA,forecast
159.39313661328785,2029-12-01,132.17930987588184,186.60696335069383,SARIMA,forecast
158.32962022697453,2030-01-01,130.6535186980279,186.00572175592117,SARIMA,forecast
158.65064572369036,2030-02-01,130.52004861980214,186.78124282757855,SARIMA,forecast
159.8693472557486,2030-03-01,131.29147772200355,188.44721678949367,SARIMA,forecast
159.90277012571926,2030-04-01,130.88452155767632,188.9210186937622,SARIMA,forecast
155.89776340064026,2030-05-01,126.4457197776531,185.34980702362745,SARIMA,forecast
154.65206050340976,2030-06-01,124.77251905543338,184.5316019513861,SARIMA,forecast
156.72618529662697,2030-07-01,126.42517672072044,187.0271938725335,SARIMA,forecast
156.60934349155184,2030-08-01,125.89265024023578,187.3260367428679,SARIMA,forecast
154.55694776068768,2030-09-01,123.43012061940752,185.6837749019678,SARIMA,forecast
158.68414380453,2030-10-01,127.15251695928664,190.2157706497734,SARIMA,forecast
161.47076152101184,2030-11-01,129.41010513294034,193.53141790908333,SARIMA,forecast
162.50043049243442,2030-12-01,129.96189745985484,195.038963525014,SARIMA,forecast
