Year,Production_e3m3d,Production_mtpa,YoY_pct,YoY_mtpa,Rolling_3yr,Regime,Incremental_Supply,Supply_Gap
2000,473329.5,126.118645275,,,,Stagnation,-16.35576679999997,-30.35576679999997
2001,494688.25,131.8096842125,4.512448516308409,4.512448516308409,486165.4722222223,Growth,-10.664727862499973,-24.664727862499973
2002,490478.6666666667,130.68804073333334,-0.8509568062983752,-0.8509568062983752,486233.8333333333,Stagnation,-11.786371341666637,-25.786371341666637
2003,473534.5833333333,126.17328972916664,-3.454601491332288,-3.4546014913322987,481235.5555555556,Decline,-16.301122345833335,-30.301122345833335
2004,479693.4166666667,127.81431087083334,1.3006089840323254,1.3006089840323476,478392.5833333333,Stagnation,-14.660101204166637,-28.660101204166637
2005,481949.75,128.41551088749998,0.4703698768710129,0.4703698768709907,481973.5277777778,Stagnation,-14.058901187499998,-28.0589011875
2006,484277.4166666667,129.03571767083332,0.4829687465688348,0.482968746568857,480800.02777777775,Stagnation,-13.438694404166654,-27.438694404166654
2007,476172.9166666667,126.87627364583336,-1.6735242489282598,-1.6735242489282376,472430.6944444445,Stagnation,-15.59813842916661,-29.59813842916661
2008,456841.75,121.7254842875,-4.059694701242112,-4.059694701242112,453546.6666666667,Decline,-20.74892778749998,-34.74892778749998
2009,427625.3333333333,113.94077006666666,-6.395303552415399,-6.39530355241541,432481.8333333333,Decline,-28.533642008333317,-42.53364200833332
2010,412978.4166666667,110.03809912083334,-3.4251751533273533,-3.4251751533273533,417850.27777777775,Decline,-32.43631295416664,-46.43631295416664
2011,412947.0833333333,110.02975035416668,-0.0075871600231036,-0.0075871600230925,406643.75,Stagnation,-32.444661720833295,-46.444661720833295
2012,394005.75,104.9828320875,-4.586866961364089,-4.586866961364111,401765.52777777775,Decline,-37.491579987499975,-51.491579987499975
2013,398343.75,106.1386921875,1.1009991605452465,1.1009991605452685,403679.27777777775,Stagnation,-36.33571988749998,-50.33571988749998
2014,418688.3333333333,111.55950641666664,5.107293219319575,5.107293219319575,415589.0833333333,Growth,-30.91490565833334,-44.91490565833334
2015,429735.1666666667,114.50293515833334,2.638438297381107,2.6384382973811293,427337.0833333333,Stagnation,-27.97147691666663,-41.97147691666663
2016,433587.75,115.5294559875,0.8965017601926029,0.8965017601926029,434342.4166666667,Stagnation,-26.944956087499975,-40.944956087499975
2017,439704.3333333333,117.15921961666665,1.4106909923846669,1.4106909923846669,443636.75,Stagnation,-25.31519245833333,-39.31519245833333
2018,457618.1666666667,121.93236050833332,4.074063404727268,4.074063404727291,447361.8888888889,Growth,-20.542051566666657,-34.54205156666666
2019,444763.1666666667,118.50714575833334,-2.8091105066123223,-2.809110506612311,446409.9722222223,Stagnation,-23.967266316666638,-37.96726631666664
2020,436848.5833333333,116.39830502916664,-1.7795051223891134,-1.7795051223891245,445956.2222222223,Stagnation,-26.07610704583334,-40.07610704583334
2021,456256.9166666667,121.56965544583336,4.442805602169941,4.442805602169964,461058.0833333333,Growth,-20.904756629166613,-34.90475662916661
2022,490068.75,130.5788184375,7.410700440522988,7.410700440522988,484681.6388888889,Growth,-11.895593637499985,-25.895593637499985
2023,507719.25,135.28179416249998,3.601637525347212,3.60163752534719,505799.3611111111,Growth,-7.192617912499998,-21.192617912499998
2024,519610.0833333333,138.45010670416667,2.342009552195101,2.3420095521951234,520680.9444444445,Stagnation,-4.024305370833304,-18.024305370833304
2025,534713.5,142.47441207499998,2.9066827513771987,2.9066827513771765,,Stagnation,0.0,-14.0
